subject_index,color,Game_theoretic_value,Confirmed,0_pieces,1_pieces,value_Zeyan ,confirmed_Zeyan
0,0,0,0,0,0,0,0
1,1,0,0,16777216,0,0,0
0,0,0,0,16777216,2048,0,0
1,1,0,0,16793600,2048,0,0
0,0,1,1,16793600,2064,0,0
1,1,0,0,18890752,2064,0,0
0,0,0,0,18890752,2068,1,1
1,1,1,1,23085056,2068,1,1
0,0,1,1,23085056,8390676,1,1
1,1,1,1,23085120,8390676,1,1
0,0,1,1,23085120,1082132500,1,1
1,1,1,1,24133696,1082132500,1,1
0,0,1,1,24133696,1082656788,1,1
1,1,1,1,24166464,1082656788,1,1
0,0,1,1,24166464,9672591380,1,1
1,1,1,1,24174656,9672591380,1,1
0,0,1,1,24174656,9672595476,1,1
1,0,0,0,0,0,0,0
0,1,0,0,4,0,0,0
1,0,0,0,4,2097152,0,0
0,1,0,0,8196,2097152,0,0
1,0,0,0,8196,2099200,0,0
0,1,0,0,8228,2099200,-1,1
1,0,0,0,8228,2099216,1,1
0,1,0,0,8230,2099216,0,0
1,0,1,1,8230,3147792,1,1
0,1,-1,1,4202534,3147792,-1,1
1,0,-1,1,4202534,3151888,-1,1
0,1,-1,1,272637990,3151888,-1,1
1,0,1,1,272637990,36706320,1,1
0,1,-1,1,272670758,36706320,-1,1
1,0,-1,1,272670758,36706328,-1,1
0,1,-1,1,1346412582,36706328,-1,1
1,0,1,1,1346412582,36968472,1,1
0,1,1,1,1346936870,36968472,1,1
1,0,1,1,1346936870,36969496,1,1
0,1,1,1,1346937382,36969496,1,1
1,0,1,1,1346937382,36969560,1,1
0,1,1,1,1883808294,36969560,1,1
1,0,1,1,1883808294,2184453208,1,1
0,0,0,0,0,0,0,0
1,1,0,0,33554432,0,0,0
0,0,0,0,33554432,16,0,0
1,1,0,0,33554560,16,0,0
0,0,0,0,33554560,65552,0,0
1,1,0,0,33587328,65552,0,0
0,0,1,1,33587328,65584,1,1
1,1,0,0,33587392,65584,0,0
0,0,0,0,33587392,16842800,0,0
1,1,-1,1,41976000,16842800,-1,1
0,0,-1,1,41976000,2164326448,-1,1
1,1,-1,1,41984192,2164326448,-1,1
0,0,0,0,41984192,2164326452,0,0
1,1,0,0,41984200,2164326452,0,1
0,0,0,0,41984200,10754261044,0,0
1,1,-1,1,41988296,10754261044,-1,1
0,0,-1,1,41988296,10754277428,-1,1
1,1,-1,1,17221857480,10754277428,-1,1
0,0,0,0,17221857480,11828019252,0,0
1,1,0,0,21516824776,11828019252,0,1
0,0,0,0,21516824776,11830116404,0,1
1,1,-1,1,21517349064,11830116404,-1,1
0,0,-1,1,21517349064,11830118452,-1,1
1,1,-1,1,21517349066,11830118452,-1,1
0,0,-1,1,21517349066,12366989364,-1,1
1,1,-1,1,21785784522,12366989364,-1,1
1,0,0,0,0,0,0,0
0,1,0,0,32,0,0,0
1,0,0,0,32,1048576,0,0
0,1,0,0,2097184,1048576,0,0
1,0,1,1,2097184,17825792,0,0
0,1,1,1,538968096,17825792,1,1
1,0,0,0,538968096,17833984,1,1
0,1,1,1,538968104,17833984,1,1
1,0,1,1,538968104,17838080,1,1
0,1,0,0,538984488,17838080,0,0
1,0,0,0,538984488,17838096,0,0
0,1,-1,1,2686468136,17838096,-1,1
0,0,0,0,0,0,0,0
1,1,0,0,16384,0,0,0
0,0,0,0,16384,16,0,0
1,1,0,0,24576,16,0,0
0,0,1,1,24576,1048592,0,0
1,1,0,0,2121728,1048592,0,0
0,0,1,1,2121728,537919504,1,1
1,1,0,0,18898944,537919504,-1,1
0,0,1,1,18898944,546308112,1,1
1,1,1,1,18903040,546308112,1,1
